"check","pass","observed"
"Primary domain n equals 4,366",TRUE,"4366"
"Primary positive n equals 682",TRUE,"682"
"Primary prevalence ratio is finite and positive",TRUE,"1.1475644343644"
"Primary confidence interval is finite and positive",TRUE,"1.09984405187883 | 1.19735532393747"
"Primary p-value is within [0,1]",TRUE,"2.51174370794198e-07"
"All conventional models converged",TRUE,"TRUE"
"All conventional model coefficients are finite",TRUE,"TRUE"
"All conventional covariance matrices are finite",TRUE,"TRUE"
"Secondary Holm p-values are within [0,1]",TRUE,"1.99805939253673e-06 | 8.29600602077229e-11 | 1.99805939253673e-06"
"Linearity sensitivity p-value is within [0,1]",TRUE,"0.000176974908863395"
"No explainable model was fitted",TRUE,"not authorized"
"No participant-level public output was written",TRUE,"aggregate CSV files only"
